------Początek: 2025-06-04 22:16:11------
Time: 22:16:12.184 | Thread: 10 | Pos: (346,02, 368,33) | Vel: (4,83, -3,84)
Time: 22:16:12.184 | Thread: 10 | Pos: (229,41, 354,17) | Vel: (1,19, 3,59)
Time: 22:16:12.184 | Thread: 10 | Pos: (262,89, 325,60) | Vel: (1,68, 4,44)
Time: 22:16:12.184 | Thread: 10 | Pos: (346,02, 368,33) | Vel: (4,83, -3,84)
Time: 22:16:12.184 | Thread: 10 | Pos: (229,41, 354,17) | Vel: (1,19, 3,59)
Time: 22:16:12.184 | Thread: 10 | Pos: (262,89, 325,60) | Vel: (1,68, 4,44)
Time: 22:16:12.184 | Thread: 10 | Pos: (346,02, 368,33) | Vel: (4,83, -3,84)
Time: 22:16:12.184 | Thread: 10 | Pos: (229,41, 354,17) | Vel: (1,19, 3,59)
Time: 22:16:12.184 | Thread: 10 | Pos: (262,89, 325,60) | Vel: (1,68, 4,44)
Time: 22:16:12.184 | Thread: 10 | Pos: (346,02, 368,33) | Vel: (4,83, -3,84)
Time: 22:16:12.184 | Thread: 10 | Pos: (229,41, 354,17) | Vel: (1,19, 3,59)
Time: 22:16:12.184 | Thread: 10 | Pos: (262,89, 325,60) | Vel: (1,68, 4,44)
Time: 22:16:12.184 | Thread: 10 | Pos: (346,02, 368,33) | Vel: (4,83, -3,84)
Time: 22:16:12.184 | Thread: 10 | Pos: (229,41, 354,17) | Vel: (1,19, 3,59)
Time: 22:16:12.184 | Thread: 10 | Pos: (262,89, 325,60) | Vel: (1,68, 4,44)
Time: 22:16:12.184 | Thread: 10 | Pos: (346,02, 368,33) | Vel: (4,83, -3,84)
Time: 22:16:12.184 | Thread: 10 | Pos: (229,41, 354,17) | Vel: (1,19, 3,59)
Time: 22:16:12.285 | Thread: 10 | Pos: (273,13, 352,71) | Vel: (1,68, 4,44)
Time: 22:16:12.285 | Thread: 10 | Pos: (375,47, 344,89) | Vel: (4,83, -3,84)
Time: 22:16:12.285 | Thread: 10 | Pos: (236,68, 376,09) | Vel: (1,19, 3,59)
Time: 22:16:12.285 | Thread: 10 | Pos: (273,13, 352,71) | Vel: (1,68, 4,44)
Time: 22:16:12.285 | Thread: 10 | Pos: (375,47, 344,89) | Vel: (4,83, -3,84)
Time: 22:16:12.285 | Thread: 10 | Pos: (236,68, 376,09) | Vel: (1,19, 3,59)
Time: 22:16:12.285 | Thread: 10 | Pos: (273,13, 352,71) | Vel: (1,68, 4,44)
Time: 22:16:12.285 | Thread: 10 | Pos: (375,47, 344,89) | Vel: (4,83, -3,84)
Time: 22:16:12.285 | Thread: 10 | Pos: (236,68, 376,09) | Vel: (1,19, 3,59)
Time: 22:16:12.285 | Thread: 10 | Pos: (273,13, 352,71) | Vel: (1,68, 4,44)
Time: 22:16:12.285 | Thread: 10 | Pos: (375,47, 344,89) | Vel: (4,83, -3,84)
Time: 22:16:12.285 | Thread: 10 | Pos: (236,68, 376,09) | Vel: (1,19, 3,59)
Time: 22:16:12.285 | Thread: 10 | Pos: (273,13, 352,71) | Vel: (1,68, 4,44)
Time: 22:16:12.285 | Thread: 10 | Pos: (375,47, 344,89) | Vel: (4,83, -3,84)
Time: 22:16:12.285 | Thread: 10 | Pos: (236,68, 376,09) | Vel: (1,19, 3,59)
Time: 22:16:12.285 | Thread: 10 | Pos: (273,13, 352,71) | Vel: (1,68, 4,44)
Time: 22:16:12.285 | Thread: 10 | Pos: (375,47, 344,89) | Vel: (4,83, -3,84)
Time: 22:16:12.285 | Thread: 10 | Pos: (236,68, 376,09) | Vel: (1,19, 3,59)
Time: 22:16:12.285 | Thread: 10 | Pos: (273,13, 352,71) | Vel: (1,68, 4,44)
Time: 22:16:12.285 | Thread: 10 | Pos: (375,47, 344,89) | Vel: (4,83, -3,84)
Time: 22:16:12.285 | Thread: 10 | Pos: (236,68, 376,09) | Vel: (1,19, 3,59)
Time: 22:16:12.285 | Thread: 10 | Pos: (273,13, 352,71) | Vel: (1,68, 4,44)
Time: 22:16:12.285 | Thread: 10 | Pos: (375,47, 344,89) | Vel: (4,83, -3,84)
Time: 22:16:12.285 | Thread: 10 | Pos: (236,68, 376,09) | Vel: (1,19, 3,59)
Time: 22:16:12.285 | Thread: 10 | Pos: (273,13, 352,71) | Vel: (1,68, 4,44)
Time: 22:16:12.285 | Thread: 10 | Pos: (375,47, 344,89) | Vel: (4,83, -3,84)
Time: 22:16:12.285 | Thread: 10 | Pos: (236,68, 376,09) | Vel: (1,19, 3,59)
Time: 22:16:12.285 | Thread: 10 | Pos: (273,13, 352,71) | Vel: (1,68, 4,44)
Time: 22:16:12.285 | Thread: 10 | Pos: (375,47, 344,89) | Vel: (4,83, -3,84)
Time: 22:16:12.285 | Thread: 10 | Pos: (236,68, 376,09) | Vel: (1,19, 3,59)
Time: 22:16:12.386 | Thread: 10 | Pos: (283,36, 379,83) | Vel: (1,68, 4,44)
Time: 22:16:12.386 | Thread: 10 | Pos: (355,52, 321,46) | Vel: (-4,83, -3,84)
Time: 22:16:12.386 | Thread: 10 | Pos: (243,95, 365,45) | Vel: (1,19, -3,59)
Time: 22:16:12.386 | Thread: 10 | Pos: (283,36, 379,83) | Vel: (1,68, 4,44)
Time: 22:16:12.386 | Thread: 10 | Pos: (355,52, 321,46) | Vel: (-4,83, -3,84)
Time: 22:16:12.386 | Thread: 10 | Pos: (243,95, 365,45) | Vel: (1,19, -3,59)
Time: 22:16:12.386 | Thread: 10 | Pos: (283,36, 379,83) | Vel: (1,68, 4,44)
Time: 22:16:12.386 | Thread: 10 | Pos: (355,52, 321,46) | Vel: (-4,83, -3,84)
Time: 22:16:12.386 | Thread: 10 | Pos: (243,95, 365,45) | Vel: (1,19, -3,59)
Time: 22:16:12.386 | Thread: 10 | Pos: (283,36, 379,83) | Vel: (1,68, 4,44)
Time: 22:16:12.386 | Thread: 10 | Pos: (355,52, 321,46) | Vel: (-4,83, -3,84)
Time: 22:16:12.386 | Thread: 10 | Pos: (243,95, 365,45) | Vel: (1,19, -3,59)
Time: 22:16:12.386 | Thread: 10 | Pos: (283,36, 379,83) | Vel: (1,68, 4,44)
Time: 22:16:12.386 | Thread: 10 | Pos: (355,52, 321,46) | Vel: (-4,83, -3,84)
Time: 22:16:12.386 | Thread: 10 | Pos: (243,95, 365,45) | Vel: (1,19, -3,59)
Time: 22:16:12.386 | Thread: 10 | Pos: (283,36, 379,83) | Vel: (1,68, 4,44)
Time: 22:16:12.386 | Thread: 10 | Pos: (355,52, 321,46) | Vel: (-4,83, -3,84)
Time: 22:16:12.387 | Thread: 10 | Pos: (243,95, 365,45) | Vel: (1,19, -3,59)
Time: 22:16:12.387 | Thread: 10 | Pos: (283,36, 379,83) | Vel: (1,68, 4,44)
