------Początek: 2025-06-04 22:12:30------
Time: 22:12:31.204 | Pos: (329,24, 307,00) | Vel: (2,72, -4,49)
Time: 22:12:31.204 | Pos: (261,56, 243,81) | Vel: (0,24, 0,74)
Time: 22:12:31.204 | Pos: (375,69, 284,88) | Vel: (-4,31, 1,34)
Time: 22:12:31.204 | Pos: (329,24, 307,00) | Vel: (2,72, -4,49)
Time: 22:12:31.204 | Pos: (261,56, 243,81) | Vel: (0,24, 0,74)
Time: 22:12:31.204 | Pos: (375,69, 284,88) | Vel: (-4,31, 1,34)
Time: 22:12:31.204 | Pos: (329,24, 307,00) | Vel: (2,72, -4,49)
Time: 22:12:31.204 | Pos: (261,56, 243,81) | Vel: (0,24, 0,74)
Time: 22:12:31.204 | Pos: (375,69, 284,88) | Vel: (-4,31, 1,34)
Time: 22:12:31.204 | Pos: (329,24, 307,00) | Vel: (2,72, -4,49)
Time: 22:12:31.204 | Pos: (261,56, 243,81) | Vel: (0,24, 0,74)
Time: 22:12:31.204 | Pos: (375,69, 284,88) | Vel: (-4,31, 1,34)
Time: 22:12:31.204 | Pos: (329,24, 307,00) | Vel: (2,72, -4,49)
Time: 22:12:31.204 | Pos: (261,56, 243,81) | Vel: (0,24, 0,74)
Time: 22:12:31.204 | Pos: (375,69, 284,88) | Vel: (-4,31, 1,34)
Time: 22:12:31.204 | Pos: (329,24, 307,00) | Vel: (2,72, -4,49)
Time: 22:12:31.204 | Pos: (261,56, 243,81) | Vel: (0,24, 0,74)
Time: 22:12:31.204 | Pos: (375,69, 284,88) | Vel: (-4,31, 1,34)
Time: 22:12:31.204 | Pos: (329,24, 307,00) | Vel: (2,72, -4,49)
Time: 22:12:31.204 | Pos: (261,56, 243,81) | Vel: (0,24, 0,74)
Time: 22:12:31.304 | Pos: (361,41, 292,40) | Vel: (2,15, 1,92)
Time: 22:12:31.305 | Pos: (331,68, 278,35) | Vel: (-3,74, -5,07)
Time: 22:12:31.305 | Pos: (262,79, 247,58) | Vel: (0,24, 0,74)
Time: 22:12:31.305 | Pos: (363,56, 294,32) | Vel: (2,15, 1,92)
Time: 22:12:31.305 | Pos: (331,68, 278,35) | Vel: (-3,74, -5,07)
Time: 22:12:31.305 | Pos: (262,79, 247,58) | Vel: (0,24, 0,74)
Time: 22:12:31.305 | Pos: (363,56, 294,32) | Vel: (2,15, 1,92)
Time: 22:12:31.305 | Pos: (331,68, 278,35) | Vel: (-3,74, -5,07)
Time: 22:12:31.305 | Pos: (262,79, 247,58) | Vel: (0,24, 0,74)
Time: 22:12:31.305 | Pos: (363,56, 294,32) | Vel: (2,15, 1,92)
Time: 22:12:31.305 | Pos: (331,68, 278,35) | Vel: (-3,74, -5,07)
Time: 22:12:31.305 | Pos: (262,79, 247,58) | Vel: (0,24, 0,74)
Time: 22:12:31.305 | Pos: (363,56, 294,32) | Vel: (2,15, 1,92)
Time: 22:12:31.305 | Pos: (331,68, 278,35) | Vel: (-3,74, -5,07)
Time: 22:12:31.305 | Pos: (262,79, 247,58) | Vel: (0,24, 0,74)
Time: 22:12:31.305 | Pos: (363,56, 294,32) | Vel: (2,15, 1,92)
