Time: 14:17:49.436 | Pos: (229,75, 268,82) | Vel: (-0,52, 1,19)
Time: 14:17:49.436 | Pos: (138,16, 283,26) | Vel: (-4,34, -2,81)
Time: 14:17:49.537 | Pos: (324,54, 259,69) | Vel: (0,95, 0,88)
Time: 14:17:49.537 | Pos: (148,35, 33,60) | Vel: (-2,89, -5,54)
Time: 14:17:49.537 | Pos: (224,04, 281,89) | Vel: (-0,52, 1,19)
Time: 14:17:49.537 | Pos: (90,39, 252,36) | Vel: (-4,34, -2,81)
Time: 14:17:49.537 | Pos: (324,54, 259,69) | Vel: (0,95, 0,88)
Time: 14:17:49.537 | Pos: (148,35, 33,60) | Vel: (-2,89, -5,54)
Time: 14:17:49.537 | Pos: (224,04, 281,89) | Vel: (-0,52, 1,19)
Time: 14:17:49.537 | Pos: (90,39, 252,36) | Vel: (-4,34, -2,81)
Time: 14:17:49.537 | Pos: (324,54, 259,69) | Vel: (0,95, 0,88)
Time: 14:17:49.537 | Pos: (148,35, 33,60) | Vel: (-2,89, -5,54)
Time: 14:17:49.537 | Pos: (224,04, 281,89) | Vel: (-0,52, 1,19)
Time: 14:17:49.537 | Pos: (90,39, 252,36) | Vel: (-4,34, -2,81)
Time: 14:17:49.537 | Pos: (324,54, 259,69) | Vel: (0,95, 0,88)
Time: 14:17:49.537 | Pos: (148,35, 33,60) | Vel: (-2,89, -5,54)
Time: 14:17:49.537 | Pos: (224,04, 281,89) | Vel: (-0,52, 1,19)
Time: 14:17:49.537 | Pos: (90,39, 252,36) | Vel: (-4,34, -2,81)
Time: 14:17:49.537 | Pos: (324,54, 259,69) | Vel: (0,95, 0,88)
Time: 14:17:49.537 | Pos: (148,35, 33,60) | Vel: (-2,89, -5,54)
Time: 14:17:49.537 | Pos: (224,04, 281,89) | Vel: (-0,52, 1,19)
Time: 14:17:49.537 | Pos: (90,39, 252,36) | Vel: (-4,34, -2,81)
Time: 14:17:49.638 | Pos: (334,02, 268,50) | Vel: (0,95, 0,88)
Time: 14:17:49.638 | Pos: (119,48, 22,52) | Vel: (-2,89, 5,54)
Time: 14:17:49.638 | Pos: (218,85, 293,77) | Vel: (-0,52, 1,19)
Time: 14:17:49.638 | Pos: (46,96, 224,26) | Vel: (-4,34, -2,81)
Time: 14:17:49.638 | Pos: (334,97, 269,38) | Vel: (0,95, 0,88)
Time: 14:17:49.638 | Pos: (119,48, 22,52) | Vel: (-2,89, 5,54)
Time: 14:17:49.638 | Pos: (218,85, 293,77) | Vel: (-0,52, 1,19)
Time: 14:17:49.638 | Pos: (46,96, 224,26) | Vel: (-4,34, -2,81)
Time: 14:17:49.638 | Pos: (334,97, 269,38) | Vel: (0,95, 0,88)
Time: 14:17:49.638 | Pos: (119,48, 22,52) | Vel: (-2,89, 5,54)
Time: 14:17:49.638 | Pos: (218,85, 293,77) | Vel: (-0,52, 1,19)
Time: 14:17:49.638 | Pos: (46,96, 224,26) | Vel: (-4,34, -2,81)
Time: 14:17:49.638 | Pos: (334,97, 269,38) | Vel: (0,95, 0,88)
Time: 14:17:49.638 | Pos: (119,48, 22,52) | Vel: (-2,89, 5,54)
Time: 14:17:49.638 | Pos: (218,85, 293,77) | Vel: (-0,52, 1,19)
Time: 14:17:49.638 | Pos: (46,96, 224,26) | Vel: (-4,34, -2,81)
Time: 14:17:49.739 | Pos: (344,46, 278,19) | Vel: (0,95, 0,88)
Time: 14:17:49.739 | Pos: (87,73, 83,49) | Vel: (-2,89, 5,54)
Time: 14:17:49.739 | Pos: (213,14, 306,84) | Vel: (-0,52, 1,19)
